"","ID","trial","bites","context"
"1","GGGG","1",27,"Predator absent"
"2","GGGG","2",41,"Predator absent"
"3","GYYY","1",29,"Predator absent"
"4","GYYY","2",84,"Predator absent"
"5","GGYP","1",96,"Predator absent"
"6","GGYP","2",0,"Predator absent"
"7","GGYY","1",94,"Predator absent"
"8","GGYY","2",137,"Predator absent"
"9","YPPP","1",92,"Predator absent"
"10","YPPP","2",55,"Predator absent"
"11","GGPG","1",75,"Predator absent"
"12","GGPG","2",17,"Predator absent"
"13","PPGG","1",0,"Predator absent"
"14","PPGG","2",115,"Predator absent"
"15","PPPG","1",87,"Predator absent"
"16","PPPG","2",85,"Predator absent"
"17","PPYP","1",106,"Predator absent"
"18","PPYP","2",87,"Predator absent"
"19","GYGY","1",53,"Predator present"
"20","GYGY","2",181,"Predator present"
"21","GGGY","1",0,"Predator present"
"22","GGGY","2",115,"Predator present"
"23","PPGY","1",108,"Predator present"
"24","PPGY","2",36,"Predator present"
"25","YPGY","1",163,"Predator present"
"26","YPGY","2",0,"Predator present"
"27","YPGG","1",0,"Predator present"
"28","YPGG","2",0,"Predator present"
"29","GGPP","1",18,"Predator present"
"30","GGPP","2",57,"Predator present"
"31","YPYY","1",81,"Predator present"
"32","YPYY","2",3,"Predator present"
"33","PPYY","1",0,"Predator present"
"34","PPYY","2",107,"Predator present"
"35","YPPG","1",127,"Predator present"
"36","YPPG","2",173,"Predator present"
