"","ID","trial","total_time","context"
"1","GYPP","1",587.512,"Predator absent"
"2","GYPP","2",322.198,"Predator absent"
"3","GYPP","3",300.258,"Predator absent"
"4","GYPP","1",734.612,"Predator present"
"5","GYPP","2",782.018,"Predator present"
"6","GYPP","3",596.894,"Predator present"
"7","PGPG","1",551.315,"Predator absent"
"8","PGPG","2",562.934,"Predator absent"
"9","PGPG","3",610.78,"Predator absent"
"10","PGPG","1",501.034,"Predator present"
"11","PGPG","2",754.495,"Predator present"
"12","PGPG","3",737.882,"Predator present"
"13","PGYY","1",648.178,"Predator absent"
"14","PGYY","2",767.807,"Predator absent"
"15","PGYY","3",277.702,"Predator absent"
"16","PGYY","1",763.144,"Predator present"
"17","PGYY","2",805.664,"Predator present"
"18","PGYY","3",759.47,"Predator present"
"19","PGPP","1",600.912,"Predator absent"
"20","PGPP","2",611.318,"Predator absent"
"21","PGPP","3",486.213,"Predator absent"
"22","PGPP","1",615.094,"Predator present"
"23","PGPP","2",560.377,"Predator present"
"24","PGPP","3",363.346,"Predator present"
"25","PGGY","1",447.517,"Predator absent"
"26","PGGY","2",30.342,"Predator absent"
"27","PGGY","3",309.855,"Predator absent"
"28","PGGY","1",688.486,"Predator present"
"29","PGGY","2",416.073,"Predator present"
"30","PGGY","3",191.083,"Predator present"
"31","GYYP","1",379.701,"Predator absent"
"32","GYYP","2",473.971,"Predator absent"
"33","GYYP","3",529.382,"Predator absent"
"34","GYYP","1",592.226,"Predator present"
"35","GYYP","2",252.497,"Predator present"
"36","GYYP","3",617.438,"Predator present"
"37","PGGG","1",652.582,"Predator absent"
"38","PGGG","2",829.584,"Predator absent"
"39","PGGG","3",416.746,"Predator absent"
"40","PGGG","1",596.874,"Predator present"
"41","PGGG","2",789.887,"Predator present"
"42","PGGG","3",618.561,"Predator present"
"43","PGYP","1",472.091,"Predator absent"
"44","PGYP","2",396.478,"Predator absent"
"45","PGYP","3",416.502,"Predator absent"
"46","PGYP","1",690.017,"Predator present"
"47","PGYP","2",379.215,"Predator present"
"48","PGYP","3",567.144,"Predator present"
"49","GYPG","1",549.173,"Predator absent"
"50","GYPG","2",438.027,"Predator absent"
"51","GYPG","3",334.727,"Predator absent"
"52","GYPG","1",505.14,"Predator present"
"53","GYPG","2",326.406,"Predator present"
"54","GYPG","3",516.874,"Predator present"
"55","GYGG","1",454.792,"Predator absent"
"56","GYGG","2",678.792,"Predator absent"
"57","GYGG","3",360.982,"Predator absent"
"58","GYGG","1",569.603,"Predator present"
"59","GYGG","2",779.21,"Predator present"
"60","GYGG","3",530.7,"Predator present"
